run,mean_drift,ci95_low,ci95_high,n_eval
rq2_qwen2vl_generative_aokvqa,0.0245,-0.0236,0.0726,30
rq2_qwen2vl_generative_scienceqa,0.0217,-0.01,0.0582,30
rq3_alpha_000,-0.0303,-0.2045,0.1316,30
rq3_alpha_010,0.0223,-0.008,0.0568,30
rq3_alpha_025,0.0253,-0.0057,0.0602,30
rq3_alpha_050,0.0197,-0.0119,0.0552,30
rq3_alpha_075,0.0074,-0.0372,0.0532,30
rq3_alpha_100,0.0149,-0.0274,0.0638,30
rq3_qwen2vl_answer_only_aokvqa,0.0231,-0.0122,0.0602,30
rq3_qwen2vl_answer_only_scienceqa,0.0898,0.0197,0.183,30
rq3_qwen2vl_explanation_aware_aokvqa,0.0271,-0.0075,0.0627,30
rq3_qwen2vl_length_aware_aokvqa,0.0267,-0.022,0.076,30
rq3_qwen2vl_length_aware_scienceqa,0.0207,-0.0108,0.0586,30
rq4_qwen2vl_explanation_aware_chartqa,0.2237,0.1419,0.314,30
rq4_qwen2vl_explanation_aware_docvqa,0.3749,0.277,0.496,30
rq4_qwen2vl_explanation_aware_vqav2,0.1109,0.0274,0.2408,30
rq6_qwen2vl_7b_explanation_aware_scienceqa,0.0114,-0.0059,0.026,30
