trained_on,eval_on,score,mc_accuracy,rouge_l,bleu,random_baseline,relaxed_accuracy,exact_match,anls,vqa_accuracy
science,science,0.74,0.74,0.6534,0.5046,0.3539,,,,
science,aokvqa,0.775,0.775,0.2668,0.037,0.25,,,,
science,charts,0.525,,,,,0.525,0.335,,
science,documents,0.1499,,,,,,0.13,0.1499,
science,vqav2,0.08,,,,,,0.08,,0.08
aokvqa,science,0.675,0.675,0.3126,0.0504,0.3539,,,,
aokvqa,aokvqa,0.795,0.795,0.3375,0.0872,0.25,,,,
aokvqa,charts,0.6,,,,,0.6,0.355,,
aokvqa,documents,0.2792,,,,,,0.27,0.2792,
aokvqa,vqav2,0.15,,,,,,0.15,,0.15
charts,science,0.41,0.41,,,0.3539,,,,
charts,aokvqa,0.43,0.43,,,0.25,,,,
charts,charts,0.615,,,,,0.615,0.225,,
charts,documents,0.2802,,,,,,0.235,0.2802,
charts,vqav2,0.26,,,,,,0.26,,0.26
documents,science,0.45,0.45,,,0.3539,,,,
documents,aokvqa,0.44,0.44,,,0.25,,,,
documents,charts,0.56,,,,,0.56,0.135,,
documents,documents,0.0678,,,,,,0.06,0.0678,
documents,vqav2,0.03,,,,,,0.03,,0.03
vqav2,science,0.42,0.42,0.21,0.0205,0.3539,,,,
vqav2,aokvqa,0.555,0.555,0.0476,0.0,0.25,,,,
vqav2,charts,0.625,,,,,0.625,0.165,,
vqav2,documents,0.3595,,,,,,0.32,0.3595,
vqav2,vqav2,0.72,,,,,,0.72,,0.72
